"","X","WID","n_reg","n_dam","n_basin","res_vol","iw_vol","DOF","DOR","USE","SED","RDD","URB","uparea","order","b","pval","fdi_mean","group","RL"
"1",371,11005219,0,0,260,0,0,0,0,0.36153846615209,0,0.534307690451925,0.0449961552253136,11445.5432950386,4,0.001048506,0.0379474349384441,0.412735391314286,"(0,0.1]",0
"2",764,11017620,0,0,278,0,0,0,0,0.209712232107953,0,0.654071942078981,0.0959532353625023,10244.8421721811,5,0.0006424046,0.0191672520432152,0.771338887171429,"(0,0.1]",0
"3",888,11036798,0,0,1025,0,0,0,0,0.172497572216221,0,0.429067055101934,0,46421.6755397594,6,0.001375951,0.028234143450386,1.58785161522857,"(0,0.1]",0
"4",990,11050202,25,5,1415,0,0,0.957603697220765,0.281707839620408,0.147844524665772,0.730660315905396,0.164219081349171,0.0249243815459127,62406.7221448377,6,0.005501824,0.00366560370224007,1.11507063897143,"(0,0.1]",1.76678445229682
"5",1052,11053434,57,0,964,0,0,3.25574648794544,0.362077925276954,0.180186724073845,2.3623794745089,0.296586098458572,0.00165871373103367,41391.6495523481,5,0.002169969,0.000236491115731904,0.339038185428571,"(0,0.1]",5.91286307053942
"6",1090,11054966,24,1,379,0,0,4.3284333903431,0.806133453638384,0.265963061621762,4.08110117325454,0.206551452818521,0.0434248011785321,17588.3788521908,5,0.002067733,0.00136439215645161,0.4817380564,"(0,0.1]",6.33245382585752
"7",1111,11056729,144,2,4023,3365,0,2.32904285836344,1.00168185360473,0.247454682195308,1.15933228458243,0.145411224207379,0.00395977155191892,176499.101810089,7,0.00132505,0.00185112515628248,1.37342501717143,"(0,0.1]",3.57941834451902
"8",1132,11058753,0,0,367,0,0,0,0,0.00108991827237184,0,0.285288829975622,0,16752.9189541457,5,0.007617191,0.00110872314789711,0.697422441971429,"(0,0.1]",0
"9",1147,11060808,0,0,347,0,0,0,0,0.000864553327003885,0,0.392002881990386,0,16977.5841336333,5,0.002082453,0.00907801720573989,0.535439245685714,"(0,0.1]",0
"10",1303,11071109,0,0,383,0,0,0,0,0.000783289828904303,0,0.233997387962304,0.0385613593980475,19526.0797857692,5,0.00188403,0.00637780514515526,0.895452448342857,"(0,0.1]",0
"11",1363,12037494,0,0,350,0,0,0,0,0.0502857144389834,0,0.370328570604324,0,15045.0901901667,5,0.006017206,0.0048528248119314,0.616292744542857,"(0,0.1]",0
"12",1444,12048772,43,0,674,0,0,3.08053299652009,2.49242588815774,1.42997032972136,1.59760994329646,0.394436201473107,0.0220801181184786,29310.1803814852,5,0.001827969,0.0000909102380969151,0.329747311885714,"(0,0.1]",6.37982195845697
"13",1514,12056874,94,3,665,124.7,124.7,9.1806128752859,6.56027847055654,0.714135342545079,5.68144347770943,0.379560902748341,0.166851126430626,29254.694804465,5,0.001031477,0.0033329003128446,1.08344765911429,"(0,0.1]",14.1353383458647
"14",1886,12084615,2634,180,19888,19233.2,16729.3,7.71481619506944,6.29833758368316,1.74183955472991,6.36586159950134,1.32991862127028,0.260457654327219,889103.922053993,8,0.002556303,0.0117303045456346,1.27705461242857,"(0,0.1]",13.2441673370877
"15",2098,12096934,149,12,447,209.3,45.2,16.1605591072599,9.91675452504649,2.27069351257094,12.4459740285757,1.75082102421279,0.140695780749022,20485.9941678405,5,0.003376826,0.0242392703746718,0.821513687942857,"(0,0.1]",33.3333333333333
"16",2143,12099183,91,1,459,191.8,191.8,12.6683410285869,5.59113444656198,10.5902385998057,9.28260692236325,1.98686550536603,0.0918850317565066,21222.075934238,5,0.002883248,0.0261708908378838,0.397500822114286,"(0,0.1]",19.8257080610022
"17",2180,12099997,226,11,962,148.6,94.9,11.4132177936312,6.24521542685939,5.00748442231122,8.86075633851876,1.58334719272729,0.167365096432008,45099.3956604948,6,0.002548138,0.00366560370224007,1.4459020862,"(0,0.1]",23.4927234927235
"18",2183,12100011,118,15,281,494.9,493.1,15.8108284388573,14.6673558254683,10.7409252795354,12.5127736555542,1.8855302547804,0.435928101641428,12517.0000802889,4,0.0005989148,0.0242392703746718,0.3151864616,"(0,0.1]",41.9928825622776
"19",2275,13016318,224,6,3022,7905.8,0,4.43417301772548,1.39789244329701,0.0341705226087641,3.47788355364233,0.632751156223269,0.0173810311326583,132719.223770034,7,0.001259068,0.000130928032249208,1.05855863214286,"(0,0.1]",7.41230972865652
"20",2387,13046007,1,0,5090,0,0,0,0,0.0001373626394095,0,0.245387362807498,0.0175675037090361,214542.012510162,6,0.002253059,0.0000000946014998578075,0.653225556457143,"(0,0.1]",0.0196463654223969
"21",2394,13054554,0,0,581,0,0,0,0,0.000341880346974756,0,0.389229057945757,0,25158.2315968734,5,0.0005771336,0.000418368226904489,0.944033560171429,"(0,0.1]",0
"22",2448,13080035,0,0,427,0,0,0,0,0.000234192040960459,0,0.21384777488139,0,19370.4513108782,5,0.0006421625,0.0000114379254569868,0.474864557685714,"(0,0.1]",0
